hora,v1,v2,v3,v4
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
